MIDAS,Lake,Town,Station,Min_Sec,Min_Sec_Bottom,Mean_Sec,Mean_Sec_Bottom,Max_Sec,Max_Sec_Bottom,Num_Months_Secchi,Min_Col,Mean_Col,Max_Col,Min_Chla,Mean_Chla,Max_Chla,Ph,Alkalinity,Conductivity,Tphos_Ec,Tphos_Sg,Tphos_Bg,Tphos_Pg,Tsi_Sec,Tsi_Chl,Tsi_Tpec,Tsi_Tppg
5780,Long Lake,"Bridgton, Harrison, Naples",1,3.2,NA,6.1,NA,12,NA,43,1,17,40,0.6,2.8,8.7,6.65,8.5,45,7,NA,8,8,38,39,35,38
5780,Long Lake,"Bridgton, Harrison, Naples",2,3.2,NA,6.1,NA,9.5,NA,41,1,17,42,0.8,2.9,7.6,6.66,8.4,44,7,NA,7,7,38,38,32,31
5780,Long Lake,"Bridgton, Harrison, Naples",3,3.5,NA,6.5,NA,10.5,NA,42,1,17,40,1,2.8,7.7,6.65,8.2,45,7,NA,7,7,35,38,32,33
5780,Long Lake,"Bridgton, Harrison, Naples",5,5,NA,5.3,NA,5.5,NA,1,NA,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5780,Long Lake,"Bridgton, Harrison, Naples",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.72,NA,20,NA,6,3,5,NA,NA,NA,NA
5786,Sebago Lake,"Casco, Naples, Raymond, Sebago, Standish, Windham",1,5.8,NA,9.6,NA,16,NA,33,9,9,9,1.4,1.8,2.1,7.11,6.7,40,4,4,2,NA,21,NA,NA,NA
5786,Sebago Lake,"Casco, Naples, Raymond, Sebago, Standish, Windham",2,9.5,NA,9.5,NA,9.5,NA,1,NA,NA,NA,NA,NA,NA,6.82,11,20,NA,NA,5,5,NA,NA,NA,NA
5786,Sebago Lake,"Casco, Naples, Raymond, Sebago, Standish, Windham",3,9,NA,9,NA,9,NA,1,NA,NA,NA,NA,NA,NA,6.78,10,20,NA,4,NA,5,NA,NA,NA,NA
5786,Sebago Lake,"Casco, Naples, Raymond, Sebago, Standish, Windham",4,8.1,NA,8.1,NA,8.1,NA,1,NA,NA,NA,NA,NA,NA,6.84,NA,20,NA,5,5,6,NA,NA,NA,NA
5786,Sebago Lake,"Casco, Naples, Raymond, Sebago, Standish, Windham",5,8.9,NA,8.9,NA,8.9,NA,1,NA,NA,NA,NA,NA,NA,6.78,NA,20,NA,7,8,4,NA,NA,NA,NA
5786,Sebago Lake,"Casco, Naples, Raymond, Sebago, Standish, Windham",6,7.3,NA,9.9,NA,12.2,NA,5,9,9,9,2.2,2.2,2.2,7.06,7.6,35,4,NA,5,5,16,NA,NA,NA
5786,Sebago Lake,"Casco, Naples, Raymond, Sebago, Standish, Windham",7,5.8,NA,9.1,*,13.4,NA,11,NA,NA,NA,NA,NA,NA,6.94,4.1,32,NA,NA,3,NA,20,NA,NA,NA
