MIDAS,Lake,Town,StationName,Date,Year,Secchi_Depth,Station
5786,Sebago Lake,"Gray, Windham",Big Bay,1996-08-15T00:00:00Z,1996,11.494999885559082,101
5786,Sebago Lake,"Gray, Windham",Big Bay,1996-08-30T00:00:00Z,1996,12.539999961853027,101
5786,Sebago Lake,"Gray, Windham",Big Bay,1996-09-12T00:00:00Z,1996,12.017499923706055,101
5786,Sebago Lake,"Gray, Windham",Big Bay,1996-10-10T00:00:00Z,1996,11.181499481201172,101
5786,Sebago Lake,"Gray, Windham",Big Bay,1996-10-23T00:00:00Z,1996,11.39050006866455,101
5786,Sebago Lake,"Gray, Windham",Big Bay,1996-12-04T00:00:00Z,1996,10.554500579833984,101
5786,Sebago Lake,"Gray, Windham",Big Bay,1998-05-20T00:00:00Z,1998,9.300000190734863,101
5786,Sebago Lake,"Gray, Windham",Big Bay,1998-06-09T00:00:00Z,1998,10.300000190734863,101
5786,Sebago Lake,"Gray, Windham",Big Bay,1998-07-14T00:00:00Z,1998,6.099999904632568,101
5786,Sebago Lake,"Gray, Windham",Big Bay,1998-08-06T00:00:00Z,1998,7.099999904632568,101
5786,Sebago Lake,"Gray, Windham",Big Bay,1998-09-22T00:00:00Z,1998,7.199999809265137,101
5786,Sebago Lake,"Gray, Windham",Big Bay,1998-10-23T00:00:00Z,1998,8.600000381469727,101
5786,Sebago Lake,"Gray, Windham",Big Bay,1998-11-10T00:00:00Z,1998,8.5,101
5786,Sebago Lake,"Gray, Windham",Big Bay,1999-04-28T00:00:00Z,1999,9.399999618530273,101
5786,Sebago Lake,"Gray, Windham",Big Bay,1999-05-27T00:00:00Z,1999,7.800000190734863,101
5786,Sebago Lake,"Gray, Windham",Big Bay,1999-06-16T00:00:00Z,1999,9.300000190734863,101
5786,Sebago Lake,"Gray, Windham",Big Bay,1999-07-20T00:00:00Z,1999,11.600000381469727,101
5786,Sebago Lake,"Gray, Windham",Big Bay,1999-08-17T00:00:00Z,1999,10,101
5786,Sebago Lake,"Gray, Windham",Big Bay,1999-09-08T00:00:00Z,1999,9.399999618530273,101
5786,Sebago Lake,"Gray, Windham",Big Bay,1999-09-27T00:00:00Z,1999,9,101
5786,Sebago Lake,"Gray, Windham",Big Bay,1999-10-19T00:00:00Z,1999,10.300000190734863,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2000-04-25T00:00:00Z,2000,11.399999618530273,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2000-05-16T00:00:00Z,2000,9.100000381469727,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2000-06-14T00:00:00Z,2000,9.800000190734863,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2000-07-26T00:00:00Z,2000,12.199999809265137,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2000-08-22T00:00:00Z,2000,12.199999809265137,101
5786,Sebago Lake,"Gray, Windham",Big Bay,2000-09-27T00:00:00Z,2000,11.5,101
